"","dat.date","dat.saleOrNot","date1"
"1","2016-08-05",41,2016-08-04
"2","2016-08-11",45,2016-08-11
"3","2016-08-16",59,2016-08-16
"4","2016-08-20",21,2016-08-20
"5","2016-08-22",57,2016-08-22
"6","2016-08-24",47,2016-08-24
"7","2016-08-31",32,2016-08-31
"8","2016-09-02",27,2016-09-02
"9","2016-09-12",28,2016-09-12
"10","2016-09-17",8,2016-09-17
"11","2016-10-14",21,2016-10-14
"12","2016-10-18",32,2016-10-18
"13","2016-10-22",14,2016-10-22
"14","2016-10-26",38,2016-10-26
"15","2016-10-30",16,2016-10-30
"16","2016-11-10",25,2016-11-10
"17","2016-11-12",15,2016-11-12
"18","2016-11-18",35,2016-11-18
"19","2016-11-23",31,2016-11-23
"20","2016-11-24",15,2016-11-24
"21","2016-11-25",29,2016-11-25
"22","2016-11-29",46,2016-11-29
"23","2016-11-30",57,2016-11-30
"24","2016-12-09",72,2016-12-09
"25","2016-12-13",77,2016-12-13
"26","2016-12-16",87,2016-12-16
"27","2016-12-30",13,2016-12-30
"28","2017-01-02",18,2017-01-02
"29","2017-01-11",17,2017-01-11
"30","2017-01-13",28,2017-01-13
"31","2017-01-15",6,2017-01-15
"32","2017-01-16",13,2017-01-16
"33","2017-01-26",27,2017-01-26
"34","2017-02-03",29,2017-02-03
"35","2017-02-13",30,2017-02-13
"36","2017-02-28",29,2017-02-28
"37","2017-03-03",25,2017-03-03
"38","2017-03-08",24,2017-03-08
"39","2017-03-10",32,2017-03-10
"40","2017-03-11",13,2017-03-11
"41","2017-03-12",11,2017-03-12
"42","2017-03-18",17,2017-03-18
"43","2017-03-20",35,2017-03-20
"44","2017-03-29",49,2017-03-29
"45","2017-04-10",36,2017-04-10
"46","2017-04-12",45,2017-04-12
"47","2017-04-20",39,2017-04-20
"48","2017-04-21",42,2017-04-21
"49","2017-04-28",59,2017-04-28
"50","2017-05-01",78,2017-05-01
"51","2017-05-11",44,2017-05-11
"52","2017-05-15",37,2017-05-15
"53","2017-05-19",39,2017-05-19
"54","2017-05-29",18,2017-05-29
"55","2017-06-11",26,2017-06-11
"56","2017-06-13",48,2017-06-13
"57","2017-06-16",36,2017-06-16
"58","2017-06-17",18,2017-06-17
"59","2017-06-21",34,2017-06-21
"60","2017-06-22",36,2017-06-22
"61","2017-06-23",26,2017-06-23
"62","2017-06-24",10,2017-06-24
"63","2017-06-30",33,2017-06-30
"64","2017-07-04",7,2017-07-04
"65","2017-08-01",43,2017-08-01
"66","2017-08-19",22,2017-08-19
"67","2017-08-20",6,2017-08-20
"68","2017-08-22",60,2017-08-22
"69","2017-09-01",26,2017-09-01
"70","2017-09-12",33,2017-09-12
"71","2017-09-14",28,2017-09-14
"72","2017-09-25",28,2017-09-25
"73","2017-09-29",24,2017-09-29
"74","2017-10-06",23,2017-10-06
"75","2017-10-07",16,2017-10-07
"76","2017-10-09",29,2017-10-09
"77","2017-10-12",29,2017-10-12
"78","2017-10-16",24,2017-10-16
"79","2017-10-20",21,2017-10-20
"80","2017-10-25",20,2017-10-25
"81","2017-10-30",24,2017-10-30
"82","2017-11-10",14,2017-11-10
"83","2017-11-11",7,2017-11-11
"84","2017-11-15",24,2017-11-15
"85","2017-11-27",43,2017-11-27
"86","2017-11-30",21,2017-11-30
"87","2017-12-12",29,2017-12-12
"88","2017-12-26",5,2017-12-26
"89","2018-01-03",21,2018-01-03
"90","2018-01-07",9,2018-01-07
"91","2018-01-17",20,2018-01-17
"92","2018-01-19",28,2018-01-19
"93","2018-01-20",8,2018-01-20
"94","2018-01-21",13,2018-01-21
"95","2018-02-03",11,2018-02-03
"96","2018-02-04",16,2018-02-04
"97","2018-02-11",12,2018-02-11
"98","2018-02-17",12,2018-02-17
"99","2018-02-21",23,2018-02-21
"100","2018-02-28",23,2018-02-28
"101","2018-03-02",20,2018-03-02
"102","2018-03-06",26,2018-03-06
"103","2018-03-07",30,2018-03-07
"104","2018-03-16",25,2018-03-16
"105","2018-04-02",26,2018-04-02
"106","2018-04-13",21,2018-04-13
"107","2018-04-15",14,2018-04-15
"108","2018-04-20",26,2018-04-20
"109","2018-04-29",14,2018-04-29
